,id,network,size,query,evidence,method,prune,heuristic,result,time
74,1212c6c3-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},map,True,degree,"{'p': {0: 0.3}, 'a': {0: True}}",0.07067572500091046
75,1212c6c4-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},map,False,degree,"{'p': {0: 0.3}, 'a': {0: True}}",0.20807430997956544
76,1212c6c5-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},mpe,True,fill,"{'p': {0: 0.075}, 'a': {0: True}, 'c': {0: True}, 'b': {0: True}, 'd': {0: True}}",0.03546671400545165
77,1212c6c6-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: True, 1: True}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09659253599238582
78,1212c6c7-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},mpe,True,degree,"{'p': {0: 0.075}, 'c': {0: True}, 'd': {0: True}, 'b': {0: True}, 'a': {0: True}}",0.03652052499819547
79,1212c6c8-7957-11ed-b0a7-653e8f13f4eb,network-10,10,['a'],{'d': True},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.1127435929956846
80,1212c6c9-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},map,True,fill,"{'p': {0: 0.15, 1: 0.15}, 'e': {0: True, 1: True}, 'f': {0: False, 1: True}}",0.06715119699947536
81,1212c6ca-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},map,False,fill,"{'p': {0: 0.15, 1: 0.15}, 'e': {0: True, 1: True}, 'f': {0: False, 1: True}}",0.22291499099810608
82,1212c6cb-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},map,True,degree,"{'p': {0: 0.15, 1: 0.15}, 'f': {0: True, 1: True}, 'e': {0: False, 1: True}}",0.06805290799820796
83,1212c6cc-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},map,False,degree,"{'p': {0: 0.15, 1: 0.15}, 'f': {0: True, 1: True}, 'e': {0: False, 1: True}}",0.2258268969890196
84,1212c6cd-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},mpe,True,fill,"{'p': {0: 0.6}, 'a': {0: True}}",0.006454102986026555
85,1212c6ce-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},mpe,False,fill,"{'p': {0: 0.001171875, 1: 0.001171875}, 'a': {0: True, 1: True}, 'e': {0: True, 1: True}, 'f': {0: True, 1: True}, 'g': {0: True, 1: True}, 'b': {0: True, 1: True}, 'c': {0: True, 1: True}, 'h': {0: True, 1: True}, 'd': {0: True, 1: True}, 'i': {0: True, 1: True}, 'j': {0: False, 1: True}}",0.09506277699256316
86,1212c6cf-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},mpe,True,degree,"{'p': {0: 0.6}, 'a': {0: True}}",0.006861028989078477
87,1212c6d0-7957-11ed-b0a7-653e8f13f4eb,network-10,10,"['e', 'f']",{'a': True},mpe,False,degree,"{'p': {0: 0.001171875}, 'e': {0: True}, 'd': {0: True}, 'g': {0: True}, 'f': {0: True}, 'b': {0: True}, 'j': {0: True}, 'c': {0: True}, 'i': {0: True}, 'h': {0: True}, 'a': {0: True}}",0.11628876999020576
